0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2057,1036,1451,473,1524,604,1377,568,1120,494,1672,678,1488,384,1377,384,1071,402,1212
1529,15,1451,156,1708,273,1635,-94,1929,-131,1819,1046,1708,420,1819,89,1634,156,1775
1599,-19,1561,156,1745,273,1782,-20,1856,-167,1635,1009,1488,126,1708,-20,1388,-55,1599
1247,-55,1230,85,1488,236,1524,16,1672,-131,1414,972,1340,236,1598,126,1423,191,1705
1564,226,1488,191,1782,420,1966,236,2076,126,1672,936,1598,457,1966,347,1493,191,1916
1282,-19,1156,-160,1451,163,1635,16,1672,-57,1193,899,1304,163,1598,89,1036,-55,1458
1282,121,1083,-90,1377,200,1524,52,1561,52,1451,862,1561,310,1819,200,1212,121,1564
1388,121,1156,-90,1340,163,1561,-20,1672,16,1304,862,1451,236,1708,52,930,-195,1247
965,15,788,-160,972,52,1156,-131,1414,-94,1120,825,1230,273,1451,16,895,-55,1141
1282,297,1193,226,1414,384,1561,126,1672,126,1524,788,1561,420,1745,236,1282,156,1529
1141,156,1156,121,1340,347,1340,89,1414,52,1267,788,1193,200,1267,89,965,85,1141
1388,508,1193,332,1377,494,1230,347,1451,273,1635,752,1377,457,1414,384,1317,508,1423
1845,789,1561,508,1708,678,1561,568,1635,420,1745,752,1451,384,1524,420,1282,437,1423
1634,754,1267,402,1377,531,1156,457,1230,347,1524,715,1230,347,1230,384,1141,508,1282
2057,1141,1561,613,1672,715,1488,715,1414,568,2003,678,1708,604,1672,604,1493,684,1669
2057,1036,1451,473,1524,604,1377,568,1120,494,1672,678,1488,384,1377,384,1071,402,1212
1845,1106,1156,508,1304,678,1083,604,1046,715,1745,678,1598,604,1451,531,1212,719,1282
2162,1282,1451,754,1561,936,1377,752,1340,972,1929,641,1672,604,1561,568,1212,719,1282
1740,1036,1156,578,1193,788,1009,531,1009,752,1524,641,1414,457,1156,457,1001,649,1036
1845,1247,1304,825,1451,972,1304,752,1267,825,1819,604,1708,678,1451,715,1388,895,1458
1493,-90,1598,226,1856,347,1708,52,1672,-20,1414,1156,1561,163,1782,-94,1458,-19,1529
1317,-55,1340,121,1635,273,1451,-94,1672,-131,1524,1120,1524,273,1745,16,1599,191,1669
1705,121,1672,261,1966,420,1892,-20,2113,-94,1819,1083,1708,310,1929,89,1669,85,1775
1388,-160,1377,-19,1561,163,1524,-315,1819,-315,1451,1046,1377,163,1524,-94,1317,-90,1388
402,367,310,50,236,126,420,-131,273,-57,-20,200,126,200,126,52,85,-90,85
