0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
121,50,126,-90,-131,52,52,126,52,126,236,236,200,126,457,126,-90,50,-90
85,121,89,-55,-131,126,16,52,89,163,457,420,457,347,568,163,332,261,50
402,332,420,121,200,273,347,126,273,310,568,531,604,420,678,347,191,226,121
261,367,236,-55,-20,89,52,52,52,-20,384,494,420,236,457,236,226,85,15
860,825,641,50,347,273,457,16,310,16,899,825,825,273,568,273,649,191,437
965,965,641,-19,310,200,420,236,273,310,531,936,531,163,163,384,297,191,332
895,1177,494,50,236,384,310,420,347,347,531,1267,457,384,457,420,613,437,508
-653,-477,-131,402,-167,200,-20,200,384,420,420,52,89,52,384,126,-231,121,-55
-829,-477,-315,367,-388,89,-278,200,126,347,16,-20,-278,-131,310,384,-266,121,-231
-547,-266,-57,402,-94,236,52,126,273,236,273,126,-57,200,641,200,121,156,50
-547,-477,16,156,-94,-20,52,52,126,89,89,-167,-94,384,310,126,-231,-125,-90
-653,-583,-131,50,-167,-57,-131,16,126,52,310,-20,52,420,457,200,50,121,85
-231,-160,236,297,126,236,273,236,347,347,494,126,236,273,715,273,15,261,226
-547,-336,-94,85,-204,16,-131,200,16,126,-20,-167,16,16,126,52,-266,15,-55
-336,-266,16,85,-94,126,16,52,163,16,384,16,347,200,347,16,156,156,191
-160,-195,126,85,16,200,163,200,163,236,273,52,89,310,494,310,-160,156,85
-442,-160,-131,15,-204,200,-131,236,16,236,163,163,-57,310,384,347,-55,261,15
-55,121,200,156,89,347,236,163,126,163,531,310,347,347,457,236,85,226,156
-231,-125,-20,-55,-131,52,-94,52,-131,-94,126,89,-20,126,347,89,-301,-19,-125
-160,-55,-57,-90,-94,126,-20,-57,52,-57,347,236,236,236,788,126,85,191,121
85,85,52,-55,-20,163,163,52,126,163,236,126,236,236,604,236,-195,85,85
-195,-55,-241,-195,-315,16,-167,89,16,52,52,126,52,163,384,89,-90,85,-19
191,156,163,-19,16,200,236,89,310,163,531,384,384,236,788,126,226,226,226
15,-90,-57,-55,-131,-131,-94,126,163,273,-131,-94,-94,-20,-20,163,85,15,85
